Module,Provisioner,Category,Command Injection via Unsanitized Input,Execution of Unverified Programs,Excessive Permissions,Unsanitized Path Traversal,File Content Injection,Arbitrary Resource Interaction,Insecure Handling of Secrets,Insecure Communication,Non-Idempotent Execution,Inconsistent Configuration
data-platform-hq-adls-v2-azurerm-1.3.0,local-exec,high_low,1,1,,1,,1,,,1,1
boldlink-cloudformation-aws-1.1.2,remote-exec,high_low,,0,,,,,,,,1
tuyalou-vpc-aws-2.0.0,remote-exec,high_low,,0,,,,,,,,1
QuiNovas-cloudfront-s3-object-aws-3.0.0,local-exec,high_low,1,0,,,,1,,,,1
e-koma-forseti-google-5.2.6,local-exec,medium_high,1,0,,,,,1,,,
equinix-multiarch-k8s-metal-0.5.0,local-exec,medium_high,,1,,,,,1,,1,1
equinix-multiarch-k8s-metal-0.5.0,remote-exec,medium_high,,0,,,,,1,,,
GoogleCloudPlatform-secured-data-warehouse-google-0.2.0,local-exec,medium_high,1,0,,,,1,1,,1,1
vmware-avi-alb-deployment-gcp-google-1.0.8,local-exec,medium_high,1,1,,,,,1,,1,
vmware-avi-alb-deployment-gcp-google-1.0.8,remote-exec,medium_high,,0,,,,,1,,1,1
artibyrd-wp-infrastructure-gcp-1.2.0,local-exec,medium_high,1,0,,,,1,1,,,
matti-certificate-registration-kontena-0.0.1,local-exec,medium_medium,1,0,,,,,,,,1
rahul-amzn-sns-aws-0.0.1,local-exec,medium_medium,,0,,,,,,,1,1
SUEZ-IT-vm-azurerm-10.1.0,local-exec,medium_medium,,0,,,,,,,,
cloud-native-toolkit-cloud-monitoring-ibm-4.1.3,local-exec,medium_low,1,0,,,,,,,,
AmitGujar-aksacr-azure-1.0.2,remote-exec,medium_low,,1,,,,,,,1,1
sudo-terraform-aws-modules-ecr-aws-1.0.0,local-exec,medium_low,1,1,,,,1,,,1,1
itwebdeveloper-serverless-bref-aws-0.4.1,local-exec,medium_low,1,0,,1,,,,,1,1
Ahmed-Amine-Soltani-cdn-gcp-2.0.0,local-exec,medium_low,1,0,,1,,,,,,1
devops-pe-pinpoint-create-templates-aws-0.0.1,local-exec,low_high,1,0,,1,1,,,,1,1
innatical-k3s-inncloud-0.0.2,local-exec,low_high,1,0,,,,,1,1,,
innatical-k3s-inncloud-0.0.2,remote-exec,low_high,1,1,,,,,1,,,
sebastianczech-conf-k8s-oracle-cloud-oci-0.0.3,remote-exec,low_high,1,1,1,,1,,1,,1,1
sebastianczech-conf-k8s-oracle-cloud-oci-0.0.3,data-external,low_high,1,1,,,,,1,,,
red5pro-red5pro-oci-1.0.3,local-exec,low_high,,0,,,,1,1,,1,1
red5pro-red5pro-oci-1.0.3,remote-exec,low_high,1,0,1,1,,,1,,,1
equinix-labs-fabric-connection-ibm-equinix-0.2.0,local-exec,low_high,1,1,,,,,1,,,
equinix-labs-fabric-connection-ibm-equinix-0.2.0,data-external,low_high,,1,,,,,,,,
selfscrum-packer-opentelekomcloud-0.3.0,local-exec,low_high,1,0,,1,1,,1,,1,1
nativelycloud-ssm-tunnel-aws-0.1.0,data-external,low_medium,1,0,,1,,1,1,,,
elestio-examples-mysql-cluster-elestio-1.2.0,remote-exec,low_medium,1,0,,,1,,1,,1,1
elestio-examples-keydb-cluster-elestio-2.1.0,remote-exec,low_medium,1,0,,,1,,1,,1,1
cloud-native-toolkit-cert-manager-cert-ibm-1.1.1,local-exec,low_medium,,0,,,1,,1,,,
okassov-data-lake-module-0.0.5,local-exec,low_low,1,0,,1,1,1,,,1,
Mattias--public-ip-external-0.1.1,data-external,low_low,,0,,,,,,,,
fr-platform-available-ips-azurerm-1.0.1,data-external,low_low,1,1,,,,1,,,,
Infada-vcsa-deploy-vsphere-1.1.4,local-exec,low_low,1,1,,,,,1,,1,1
andreygubarev-self-extractable-archive-external-1.4.1,data-external,low_low,1,0,,1,1,,,,1,1
glenngillen-build-with-cleanup-gg-1.0.2,local-exec,low_low,1,0,,1,,1,,,1,
l-with-authentik-brand-module-0.1.0,local-exec,low_low,1,0,,,,,1,,1,1
JayDoubleu-archive-python-external-1.0.1,data-external,low_low,,1,,1,,,,,,
fpco-foundation-aws-0.9.16,local-exec,high_high,1,1,,,,1,1,,,1
fpco-foundation-aws-0.9.16,remote-exec,high_high,1,1,,,1,,1,,1,1
vainkop-cloudfront-auth-aws-1.0.0,local-exec,high_high,,1,,,,,1,,,1
jhagdu-ec2-with-efs-aws-2.0.0,local-exec,high_high,,0,,,,,,,,
jhagdu-ec2-with-efs-aws-2.0.0,remote-exec,high_high,1,0,,,1,,,,,
DNXLabs-gitlab-runner-aws-4.20.2-dnx2,local-exec,high_high,1,0,,,,,1,,1,1
zhenwenc-openvpn-aws-1.0.2,remote-exec,high_medium,1,0,1,,1,,,,1,
terraform-in-action-nomad-azure-0.1.7,local-exec,high_medium,,0,,,,,,,,
claranet-function-app-azurerm-7.12.0,data-external,high_medium,1,0,,,,1,,,,
neomantra-mirror-docker-0.6.0,local-exec,high_medium,1,0,,,,,,,1,1
bridgecrewio-bridgecrew-gcp-read-only-google-0.3.6,local-exec,high_low,1,0,,,,,1,,,
picatz-quakejs-google-1.0.2,local-exec,high_low,,0,,,,,,,,
wandb-assume-aws-role-google-1.1.0,data-external,high_low,1,0,,,,,1,,,
damacus-lambda-auto-package-aws-0.2.0,local-exec,high_low,1,0,,,,1,,,,
baikonur-oss-lambda-es-cleaner-aws-2.0.1,data-external,high_low,1,0,,,1,,,,,1
shiv0112-docker-aws-1.0.0,remote-exec,high_low,,0,,,,,1,,1,1
edalferes-hefesto-azure-1.0.174021,remote-exec,high_low,1,0,,,,1,1,,,
volterraedge-secure-k8s-gateway-volterra-0.1.8,local-exec,medium_high,,1,,,,,1,,,
anaghirghilijiu-vpc-gcp-0.0.5,remote-exec,medium_high,,0,,,,1,,,,1
cloud-native-toolkit-cloud-monitoring-bind-ibm-1.3.5,local-exec,medium_high,1,1,,,1,,1,,,
srb3-effortless-bootstrap-chef-0.13.2,remote-exec,medium_medium,1,1,,1,,,1,,1,1
kierandidi-emrserverless-aws-1.0.0,local-exec,medium_medium,1,1,,1,,,,,,1
kierandidi-emrserverless-aws-1.0.0,data-external,medium_medium,1,1,,1,,,,,,
matti-cloud-nodes-kontena-0.1.1,local-exec,medium_medium,1,0,,,,1,,,,1
Kreditorforeningens-Driftssentral-DA-remote-excec-ansible-null-0.1.3,remote-exec,medium_medium,1,1,,,,,,,,1
uptycslabs-iam-config-google-1.1.0,local-exec,medium_low,1,0,,,,,1,,,
altissimo-hq-billing-account-google-1.0.3,data-external,medium_low,1,0,,,,1,,,,
MDMOQADDAS-terraformansible-aws-1.0.1,local-exec,medium_low,1,1,,1,,,,,1,1
jonasv05-apache-example-aws-1.0.1,local-exec,medium_low,,0,,,,,,,,
StratusGrid-transfer-server-ad-aws-1.2.1,local-exec,medium_low,1,0,,,,,,,,
sahitya12-caf-azurerm-5.5.6,local-exec,low_high,1,1,,,,,1,,1,1
sahitya12-caf-azurerm-5.5.6,data-external,low_high,1,0,,,,,1,,,
equinix-platform9-k8s-metal-0.2.0,local-exec,low_high,,1,,,,,,,1,1
equinix-platform9-k8s-metal-0.2.0,remote-exec,low_high,,1,,,,,,,,1
equinix-platform9-k8s-metal-0.2.0,data-external,low_high,,1,,,,,,,1,1
oracle-devrel-arch-wordpress-oci-1.2.0,local-exec,low_high,,0,,,,,,,,
oracle-devrel-arch-wordpress-oci-1.2.0,remote-exec,low_high,,1,,,,,1,,1,1
oracle-devrel-arch-tomcat-oci-1.0.0,local-exec,low_high,1,0,,1,,,,,1,1
oracle-devrel-arch-tomcat-oci-1.0.0,remote-exec,low_high,1,1,,,,,,,1,1
terraform-alicloud-modules-automation-elastic-landing-alicloud-1.1.0,local-exec,low_high,1,1,,1,,,,,1,
lefterisALEX-cloudstack-hetzner-1.1.0,remote-exec,low_high,1,0,,,,,1,,1,1
aws-ia-serverless-streamlit-app-aws-1.1.0,local-exec,low_medium,1,0,,,,1,,,,
marieane22-vpc-gcp-2.3.4,local-exec,low_medium,,0,,,,1,,,,
elestio-examples-opensearch-cluster-elestio-1.1.0,remote-exec,low_medium,,0,,,,,1,,1,1
tegarimansyah-linux-server-experiment-aws-0.0.1,remote-exec,low_low,1,0,,,,,,,1,1
srb3-workstation-tools-linux-0.1.2,remote-exec,low_low,1,1,,,,,,,,1
srb3-chef-supermarket-linux-0.13.0,data-external,low_low,1,1,,,,,1,,,1
prajwalap1701-saltstack-aws-2.0.0,local-exec,low_low,1,0,,1,,,,1,,
Noahnc-certificate_manager-azurerm-1.0.1,local-exec,low_low,,0,,,,,,,1,1
ryanuber-uuid-random-0.0.2,data-external,low_low,,0,,,,,,,,
oracle-terraform-modules-observability-oci-0.0.2,local-exec,low_low,,1,,1,,,,,,1
howdio-eks-aws-2.0.2,local-exec,high_high,1,1,,,,,,,,1
ichundu-compute-instance-internal-google-0.0.3,local-exec,high_high,1,0,,,,1,,,,1
spotinst-gcp-connect-spotinst-0.3.4,local-exec,high_high,1,1,,,,,,,1,1
spotinst-gcp-connect-spotinst-0.3.4,data-external,high_high,1,1,,,,,1,,,
stroeer-ecs-fargate-aws-0.44.2,local-exec,high_high,1,1,,1,,1,,,,1
lays147-lambda-aws-0.1.1,local-exec,high_high,1,1,,,1,,,,,1
lays147-lambda-aws-0.1.1,data-external,high_high,1,1,,,,,,,1,
farrukh90-eks-aws-1.0.1,local-exec,high_medium,1,1,,,,1,,,,
QuiNovas-eks-aws-2.3.7,local-exec,high_medium,1,1,,,1,,,,1,1
gulmira07-wordpress-aws-1.1.1,remote-exec,high_medium,,0,,,1,,1,,1,1
poseidon-kubernetes-azure-1.25.4,remote-exec,high_medium,,0,,,,,1,,,1
gearnode-get-secret-kubernetes-0.3.1,data-external,high_low,1,1,,,,,1,,,
