Module,Provisioner,Category,Command Injection via Unsanitized Input,Execution of Unverified Programs,Excessive Permissions,Unsanitized Path Traversal,File Content Injection,Arbitrary Resource Interaction,Insecure Handling of Secrets,Insecure Communication,Non-Idempotent Execution,Inconsistent Configuration
oracle-devrel-arch-drupal-oci-1.2.0,local-exec,low_high,,0,,,,,,,,
oracle-devrel-arch-drupal-oci-1.2.0,remote-exec,low_high,,1,,,,,,,1,1
EKGF-ekg-aws-0.0.19,local-exec,low_high,,0,,,1,,,,,1
mkrajinov-k8s-hcloud-1.0.5,local-exec,low_high,,1,,,,,,1,1,1
mkrajinov-k8s-hcloud-1.0.5,remote-exec,low_high,1,0,,,,,,,,1
KongHQ-CX-bootstrap-flux-0.6.2,local-exec,low_high,1,0,,,,1,,,1,1
srb3-connect-exec-linux-0.13.0,remote-exec,low_medium,1,1,,1,,,1,,,
glenngillen-archive-gg-1.0.0,local-exec,low_medium,,0,,1,,,,,,
acai-consulting-acf-core-configuration-aws-1.2.3,data-external,low_medium,,0,,,,,,,,
dutch-vpn-digitalocean-0.2.2,remote-exec,low_low,,1,1,,,,,,,
infrahouse-secret-aws-0.5.0,data-external,low_low,,0,,,,,1,,,
alexohneander-k3s-hetzner-0.1.6,local-exec,low_low,1,0,,,,1,,,,1
neonembrace-messages-linux-0.1.3,local-exec,low_low,,0,,,,,,,,
yashhirulkar701-virtual-machine-azure-1.0.0,remote-exec,low_low,,1,,,,1,,,,
adarobin-nsx-v-manager-vsphere-0.1.0,local-exec,low_low,1,1,,,,,1,,,
johncosta-kubernetes-digitalocean-0.1.3,local-exec,low_low,,0,,,,,,,,
devops-workflow-organizational-units-aws-0.0.6,local-exec,high_high,,1,,,,,,,,
eliotlim-container-image-aws-0.0.8,local-exec,high_high,1,0,,,,1,,,,
cloud-native-toolkit-resource-group-ibm-3.3.5,local-exec,high_high,1,1,,,,,1,,,1
deepuashokan85-compute-instance-google-0.1.0,local-exec,high_high,1,0,,,,1,,,,1
makandra-modules-aws-1.2.0,local-exec,high_medium,1,0,,,,1,,,,
dasmeta-modules-aws-2.15.1,local-exec,high_medium,1,0,,,,1,,,,
dasmeta-modules-aws-2.15.1,data-external,high_medium,,0,,1,,,,,,1
ebekker-cached-ami-aws-1.0.1,local-exec,high_medium,,1,,1,,,,,,
ebekker-cached-ami-aws-1.0.1,data-external,high_medium,,1,,1,,,,,,
PaloAltoNetworks-swfw-modules-google-2.0.5,local-exec,high_low,,0,,,,,,,,
gruntwork-io-gke-google-0.10.0,local-exec,high_low,1,0,,,,1,,,,
JeissonO-dynamoExport-aws-0.0.2,local-exec,high_low,1,0,,,,1,,,,
tobi1972-vpc-aws-1.0.0,remote-exec,high_low,,0,,,,,1,,,1
miere-fargate-web-aws-1.0.0,local-exec,high_low,1,1,,1,,,,,,
calidae-rds-iam-token-generator-external-0.1.1,data-external,high_low,1,1,,,,,,,,
robbytaylor-s3-unzip-aws-0.3.0,local-exec,high_low,,0,,,1,,,,,
mitchellh-dynamic-keys-aws-2.0.0,local-exec,high_low,1,0,,1,,,,,,
rhythmictech-datadog-aws-1.1.0,local-exec,high_low,1,0,,,,,,,,
xiaohei417-lambda-aws-2.33.0,local-exec,medium_high,1,0,,,,1,,,,
xiaohei417-lambda-aws-2.33.0,data-external,medium_high,,1,,1,,,,,,
infrahouse-update-dns-aws-0.6.0,local-exec,medium_medium,,0,,,,,,,,
4ops-ethereum-parity-digitalocean-1.0.4,remote-exec,medium_medium,1,1,,,,,,,,1
catalystsquad-staticsite-aws-2.0.0,local-exec,medium_low,,0,,,,1,,,,
ptonini-log-analytics-workspace-azurerm-1.0.4,local-exec,medium_low,1,0,,,,1,,,,
robertomoutinho-ecs-app-aws-4.13.0,data-external,medium_low,1,1,,,,,1,,,
pjaudiomv-route53-resolver-dns-firewall-aws-1.0.0,data-external,medium_low,,1,,,,,,,,
kube-champ-flux-bootstrap-k8s-0.0.11,local-exec,medium_low,1,0,,,1,,1,,,
tomarv2-lambda-aws-0.0.5,data-external,medium_low,,1,,,,,,,,1
dabble-of-devops-bioanalyze-merge-values-helm-0.5.0,local-exec,medium_low,1,1,,1,,,,,,1
cloud-native-toolkit-vpn-server-azure-1.0.1,local-exec,low_high,1,1,,1,,,1,,,1
zoomoid-k8s-hcloud-1.0.1,remote-exec,low_high,1,0,,1,,,,1,,
Kosmas-sks-exoscale-0.3.1,local-exec,low_high,1,0,,,,1,,,,1
Kosmas-sks-exoscale-0.3.1,data-external,low_high,1,1,,,,,,,,
datafold-datafold-aws-1.7.4,local-exec,low_high,1,0,,,,1,,,,
devoptimist-chef-server-populate-linux-0.13.0,remote-exec,low_high,1,1,,,,,1,,,1
techieinyou-lambdalayer-python-mysql-aws-1.0.1,local-exec,low_high,1,0,,,,,,,,1
SudharsaneSivamany-account-factory-aws-0.1.0,local-exec,low_medium,1,0,,,,,,,,
Invicton-Labs-file-resource-local-0.1.0,local-exec,low_low,1,0,,1,,,,,,
teja-2123-myTerraform-aws-1.0.1,remote-exec,low_low,,0,,1,,,1,,,1
cloud-native-toolkit-cert-manager-ibm-1.2.0,local-exec,low_low,1,0,,,,,,,,
KittenKloud-clawcluster-kittenkloud-1.0.0,local-exec,low_low,1,1,,,,,,,,
guruskill7-myapache-aws-1.0.1,remote-exec,low_low,,0,,1,,,1,,,1
kodal-free-tier-kubernetes-oci-0.4.0,remote-exec,low_low,1,0,,,,,1,,,
aolvictim-cloudfront-s3-update-only-aws-1.0.1,local-exec,medium,1,,,,,1,,,1,
darwinmc-polygon-technology-edge-aws-0.0.4,local-exec,medium,1,,,,1,,,,,1
etudor-ecs-service-aws-0.0.6,local-exec,medium,1,,,,,,,,,
franviera92-kubernetes-engine-google-18.0.1,local-exec,medium,,,,,,1,,,,
mcgrof-add-host-ssh-config-kdevops-3.0.0,local-exec,medium,,1,,,,,1,,1,
4ops-docker-server-digitalocean-1.0.0,remote-exec,medium,,,,,,,1,,,1
orionterra-chainlink-node-aws-1.9.1,data-external,medium,,0,,,,,1,,,
TaitoUnited-infrastructure-apps-helm-2.5.0,data-external,medium,,1,,1,,,1,,,
